neighbourhood_cleansed,listing_count,median_price,mean_price,median_revenue,mean_revenue,median_occupancy,avg_rating,pct_superhost,pct_instant_bookable,city
ΑΝΩ ΠΑΤΗΣΙΑ,74,53.0,72.0,1245.0,2475.5945945945946,18.0,4.78,0.311,0.608,Athens
ΓΚΥΖΗ,119,54.0,65.9327731092437,1206.0,2368.344537815126,16.0,4.77,0.37,0.504,Athens
ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ,173,49.0,63.84393063583815,1116.0,2761.023121387283,12.0,4.67,0.382,0.509,Athens
ΠΑΤΗΣΙΑ,165,47.0,158.3212121212121,1062.0,3310.787878787879,18.0,4.71,0.279,0.521,Athens
ΡΙΖΟΥΠΟΛΗ,13,39.0,53.92307692307692,1050.0,2352.923076923077,24.0,4.59,0.308,0.462,Athens
ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ,36,43.0,66.80555555555556,939.0,2720.9166666666665,18.0,4.59,0.361,0.361,Athens
ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ,105,58.0,70.81904761904762,900.0,3789.704761904762,18.0,4.8,0.314,0.6,Athens
ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,89,52.0,562.0224719101124,792.0,8784.191011235955,12.0,4.66,0.169,0.461,Athens
Lambrechtshoeken,4,73.0,69.25,501.0,3426.0,9.0,4.92,0.25,0.25,Antwerp
Merksem - Heide,8,147.5,153.625,0.0,4146.0,0.0,4.87,0.25,0.125,Antwerp
Hoboken - West,4,78.5,156.75,0.0,3952.5,0.0,4.8,0.0,0.25,Amsterdam
